accuracy: 0.6; AUCROC: 0.64; precision: 0.5833333333333334; recall: 0.7; fscore: 0.6363636363636364; support: 10
accuracy: 0.45; AUCROC: 0.53; precision: 0.45454545454545453; recall: 0.5; fscore: 0.47619047619047616; support: 10
accuracy: 0.55; AUCROC: 0.68; precision: 0.5454545454545454; recall: 0.6; fscore: 0.5714285714285714; support: 10
accuracy: 0.55; AUCROC: 0.5700000000000001; precision: 0.5454545454545454; recall: 0.6; fscore: 0.5714285714285714; support: 10
accuracy: 0.55; AUCROC: 0.63; precision: 0.5454545454545454; recall: 0.6; fscore: 0.5714285714285714; support: 10
accuracy: 0.55; AUCROC: 0.66; precision: 0.5384615384615384; recall: 0.7; fscore: 0.6086956521739131; support: 10
accuracy: 0.55; AUCROC: 0.6000000000000001; precision: 0.5555555555555556; recall: 0.5; fscore: 0.5263157894736842; support: 10
accuracy: 0.55; AUCROC: 0.54; precision: 0.5454545454545454; recall: 0.6; fscore: 0.5714285714285714; support: 10
accuracy: 0.5; AUCROC: 0.6300000000000001; precision: 0.5; recall: 0.5; fscore: 0.5; support: 10
accuracy: 0.55; AUCROC: 0.66; precision: 0.5384615384615384; recall: 0.7; fscore: 0.6086956521739131; support: 10
accuracy: 0.5; AUCROC: 0.6; precision: 0.5; recall: 0.5; fscore: 0.5; support: 10
accuracy: 0.55; AUCROC: 0.65; precision: 0.5384615384615384; recall: 0.7; fscore: 0.6086956521739131; support: 10
accuracy: 0.45; AUCROC: 0.66; precision: 0.4444444444444444; recall: 0.4; fscore: 0.42105263157894735; support: 10
accuracy: 0.55; AUCROC: 0.5700000000000001; precision: 0.5454545454545454; recall: 0.6; fscore: 0.5714285714285714; support: 10
accuracy: 0.55; AUCROC: 0.66; precision: 0.5454545454545454; recall: 0.6; fscore: 0.5714285714285714; support: 10
accuracy: 0.55; AUCROC: 0.66; precision: 0.5454545454545454; recall: 0.6; fscore: 0.5714285714285714; support: 10
accuracy: 0.55; AUCROC: 0.5800000000000001; precision: 0.5384615384615384; recall: 0.7; fscore: 0.6086956521739131; support: 10
accuracy: 0.5; AUCROC: 0.5; precision: 0.5; recall: 0.5; fscore: 0.5; support: 10
accuracy: 0.65; AUCROC: 0.67; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.5; AUCROC: 0.5700000000000001; precision: 0.5; recall: 0.5; fscore: 0.5; support: 10
accuracy: 0.6; AUCROC: 0.61; precision: 0.5833333333333334; recall: 0.7; fscore: 0.6363636363636364; support: 10
accuracy: 0.45; AUCROC: 0.51; precision: 0.4444444444444444; recall: 0.4; fscore: 0.42105263157894735; support: 10
accuracy: 0.55; AUCROC: 0.6000000000000001; precision: 0.5454545454545454; recall: 0.6; fscore: 0.5714285714285714; support: 10
accuracy: 0.5; AUCROC: 0.6; precision: 0.5; recall: 0.5; fscore: 0.5; support: 10
accuracy: 0.6; AUCROC: 0.69; precision: 0.5833333333333334; recall: 0.7; fscore: 0.6363636363636364; support: 10
accuracy: 0.55; AUCROC: 0.58; precision: 0.5454545454545454; recall: 0.6; fscore: 0.5714285714285714; support: 10
accuracy: 0.55; AUCROC: 0.6799999999999999; precision: 0.5555555555555556; recall: 0.5; fscore: 0.5263157894736842; support: 10
accuracy: 0.55; AUCROC: 0.65; precision: 0.5555555555555556; recall: 0.5; fscore: 0.5263157894736842; support: 10
