accuracy: 0.65; AUCROC: 0.7000000000000001; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.7; AUCROC: 0.75; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.55; AUCROC: 0.64; precision: 0.5384615384615384; recall: 0.7; fscore: 0.6086956521739131; support: 10
accuracy: 0.65; AUCROC: 0.55; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.65; AUCROC: 0.8400000000000001; precision: 0.6; recall: 0.9; fscore: 0.72; support: 10
accuracy: 0.6; AUCROC: 0.5599999999999999; precision: 0.5833333333333334; recall: 0.7; fscore: 0.6363636363636364; support: 10
accuracy: 0.6; AUCROC: 0.72; precision: 0.5714285714285714; recall: 0.8; fscore: 0.6666666666666666; support: 10
accuracy: 0.65; AUCROC: 0.71; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.7; AUCROC: 0.72; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.65; AUCROC: 0.64; precision: 0.6; recall: 0.9; fscore: 0.72; support: 10
accuracy: 0.6; AUCROC: 0.73; precision: 0.5625; recall: 0.9; fscore: 0.6923076923076923; support: 10
accuracy: 0.75; AUCROC: 0.76; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.6; AUCROC: 0.63; precision: 0.5714285714285714; recall: 0.8; fscore: 0.6666666666666666; support: 10
accuracy: 0.5; AUCROC: 0.59; precision: 0.5; recall: 0.7; fscore: 0.5833333333333334; support: 10
accuracy: 0.65; AUCROC: 0.6799999999999999; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.75; AUCROC: 0.77; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.6; AUCROC: 0.68; precision: 0.5714285714285714; recall: 0.8; fscore: 0.6666666666666666; support: 10
accuracy: 0.7; AUCROC: 0.67; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.65; AUCROC: 0.7; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.7; AUCROC: 0.78; precision: 0.625; recall: 1.0; fscore: 0.7692307692307693; support: 10
accuracy: 0.55; AUCROC: 0.5700000000000001; precision: 0.5555555555555556; recall: 0.5; fscore: 0.5263157894736842; support: 10
accuracy: 0.7; AUCROC: 0.6; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.7; AUCROC: 0.74; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.6; AUCROC: 0.77; precision: 0.5714285714285714; recall: 0.8; fscore: 0.6666666666666666; support: 10
accuracy: 0.75; AUCROC: 0.7400000000000001; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.65; AUCROC: 0.79; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.65; AUCROC: 0.76; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.55; AUCROC: 0.57; precision: 0.5333333333333333; recall: 0.8; fscore: 0.64; support: 10
accuracy: 0.6; AUCROC: 0.62; precision: 0.5833333333333334; recall: 0.7; fscore: 0.6363636363636364; support: 10
accuracy: 0.75; AUCROC: 0.6799999999999999; precision: 0.6666666666666666; recall: 1.0; fscore: 0.8; support: 10
accuracy: 0.7; AUCROC: 0.76; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.6; AUCROC: 0.64; precision: 0.6; recall: 0.6; fscore: 0.6; support: 10
accuracy: 0.7; AUCROC: 0.75; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.7; AUCROC: 0.74; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.6; AUCROC: 0.73; precision: 0.5714285714285714; recall: 0.8; fscore: 0.6666666666666666; support: 10
accuracy: 0.65; AUCROC: 0.6599999999999999; precision: 0.5882352941176471; recall: 1.0; fscore: 0.7407407407407407; support: 10
accuracy: 0.75; AUCROC: 0.73; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.65; AUCROC: 0.68; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.8; AUCROC: 0.6599999999999999; precision: 0.7142857142857143; recall: 1.0; fscore: 0.8333333333333334; support: 10
accuracy: 0.6; AUCROC: 0.72; precision: 0.5714285714285714; recall: 0.8; fscore: 0.6666666666666666; support: 10
accuracy: 0.7; AUCROC: 0.8; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.6; AUCROC: 0.67; precision: 0.5555555555555556; recall: 1.0; fscore: 0.7142857142857143; support: 10
accuracy: 0.6; AUCROC: 0.61; precision: 0.5714285714285714; recall: 0.8; fscore: 0.6666666666666666; support: 10
accuracy: 0.7; AUCROC: 0.77; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.65; AUCROC: 0.71; precision: 0.6; recall: 0.9; fscore: 0.72; support: 10
accuracy: 0.65; AUCROC: 0.7; precision: 0.6; recall: 0.9; fscore: 0.72; support: 10
accuracy: 0.6; AUCROC: 0.6900000000000001; precision: 0.5625; recall: 0.9; fscore: 0.6923076923076923; support: 10
accuracy: 0.65; AUCROC: 0.81; precision: 0.6; recall: 0.9; fscore: 0.72; support: 10
accuracy: 0.65; AUCROC: 0.6799999999999999; precision: 0.6; recall: 0.9; fscore: 0.72; support: 10
accuracy: 0.7; AUCROC: 0.74; precision: 0.625; recall: 1.0; fscore: 0.7692307692307693; support: 10
