accuracy: 0.55; AUCROC: 0.71; precision: 0.6666666666666666; recall: 0.2; fscore: 0.3076923076923077; support: 10
accuracy: 0.5; AUCROC: 0.5; precision: 0.5; recall: 0.2; fscore: 0.2857142857142857; support: 10
accuracy: 0.6; AUCROC: 0.64; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.6; AUCROC: 0.6900000000000001; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.8; AUCROC: 0.8200000000000001; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.55; AUCROC: 0.64; precision: 0.6; recall: 0.3; fscore: 0.4; support: 10
accuracy: 0.7; AUCROC: 0.68; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.5; AUCROC: 0.68; precision: 0.5; recall: 0.3; fscore: 0.375; support: 10
accuracy: 0.65; AUCROC: 0.55; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.55; AUCROC: 0.64; precision: 0.6666666666666666; recall: 0.2; fscore: 0.3076923076923077; support: 10
accuracy: 0.6; AUCROC: 0.66; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.7; AUCROC: 0.73; precision: 1.0; recall: 0.4; fscore: 0.5714285714285714; support: 10
accuracy: 0.65; AUCROC: 0.73; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.7; AUCROC: 0.78; precision: 1.0; recall: 0.4; fscore: 0.5714285714285714; support: 10
accuracy: 0.6; AUCROC: 0.66; precision: 0.75; recall: 0.3; fscore: 0.42857142857142855; support: 10
accuracy: 0.6; AUCROC: 0.66; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.6; AUCROC: 0.61; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.65; AUCROC: 0.74; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.6; AUCROC: 0.61; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.75; AUCROC: 0.77; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.6; AUCROC: 0.51; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.65; AUCROC: 0.6599999999999999; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.6; AUCROC: 0.63; precision: 0.75; recall: 0.3; fscore: 0.42857142857142855; support: 10
accuracy: 0.6; AUCROC: 0.5700000000000001; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.6; AUCROC: 0.5800000000000001; precision: 0.75; recall: 0.3; fscore: 0.42857142857142855; support: 10
accuracy: 0.65; AUCROC: 0.62; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.55; AUCROC: 0.44000000000000006; precision: 0.6666666666666666; recall: 0.2; fscore: 0.3076923076923077; support: 10
accuracy: 0.55; AUCROC: 0.56; precision: 0.6666666666666666; recall: 0.2; fscore: 0.3076923076923077; support: 10
accuracy: 0.7; AUCROC: 0.8; precision: 0.75; recall: 0.6; fscore: 0.6666666666666666; support: 10
accuracy: 0.6; AUCROC: 0.63; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.6; AUCROC: 0.54; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.6; AUCROC: 0.6699999999999999; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.6; AUCROC: 0.52; precision: 0.75; recall: 0.3; fscore: 0.42857142857142855; support: 10
accuracy: 0.6; AUCROC: 0.54; precision: 0.75; recall: 0.3; fscore: 0.42857142857142855; support: 10
accuracy: 0.6; AUCROC: 0.55; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.6; AUCROC: 0.74; precision: 0.75; recall: 0.3; fscore: 0.42857142857142855; support: 10
accuracy: 0.65; AUCROC: 0.77; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.55; AUCROC: 0.6199999999999999; precision: 0.6666666666666666; recall: 0.2; fscore: 0.3076923076923077; support: 10
accuracy: 0.6; AUCROC: 0.6; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.75; AUCROC: 0.73; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.65; AUCROC: 0.69; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.65; AUCROC: 0.72; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.6; AUCROC: 0.74; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.65; AUCROC: 0.66; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.6; AUCROC: 0.63; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.65; AUCROC: 0.72; precision: 1.0; recall: 0.3; fscore: 0.46153846153846156; support: 10
accuracy: 0.8; AUCROC: 0.77; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.65; AUCROC: 0.67; precision: 0.8; recall: 0.4; fscore: 0.5333333333333333; support: 10
accuracy: 0.6; AUCROC: 0.71; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
accuracy: 0.6; AUCROC: 0.53; precision: 1.0; recall: 0.2; fscore: 0.3333333333333333; support: 10
