accuracy: 0.85; AUCROC: 0.9400000000000001; precision: 0.8888888888888888; recall: 0.8; fscore: 0.8421052631578947; support: 10
accuracy: 0.8; AUCROC: 0.9299999999999999; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.75; AUCROC: 0.9099999999999999; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.9; AUCROC: 0.9200000000000002; precision: 0.8333333333333334; recall: 1.0; fscore: 0.9090909090909091; support: 10
accuracy: 0.8; AUCROC: 0.9299999999999999; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.8; AUCROC: 0.95; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.75; AUCROC: 0.9; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.8; AUCROC: 0.88; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
accuracy: 0.9; AUCROC: 0.97; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.8; AUCROC: 0.94; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.8; AUCROC: 0.9600000000000001; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 0.9090909090909091; recall: 1.0; fscore: 0.9523809523809523; support: 10
accuracy: 0.85; AUCROC: 0.9800000000000001; precision: 0.8888888888888888; recall: 0.8; fscore: 0.8421052631578947; support: 10
accuracy: 0.85; AUCROC: 0.9700000000000001; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.85; AUCROC: 0.8900000000000001; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.8; AUCROC: 0.9600000000000001; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.8; AUCROC: 0.9600000000000001; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.9; AUCROC: 0.96; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.95; AUCROC: 0.9800000000000001; precision: 0.9090909090909091; recall: 1.0; fscore: 0.9523809523809523; support: 10
accuracy: 0.8; AUCROC: 0.94; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.85; AUCROC: 0.9600000000000001; precision: 0.7692307692307693; recall: 1.0; fscore: 0.8695652173913043; support: 10
accuracy: 0.75; AUCROC: 0.88; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.9; AUCROC: 0.9500000000000001; precision: 0.8333333333333334; recall: 1.0; fscore: 0.9090909090909091; support: 10
accuracy: 0.9; AUCROC: 0.98; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.95; AUCROC: 0.9800000000000001; precision: 0.9090909090909091; recall: 1.0; fscore: 0.9523809523809523; support: 10
accuracy: 0.9; AUCROC: 0.9800000000000001; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.9; AUCROC: 0.9600000000000001; precision: 0.8333333333333334; recall: 1.0; fscore: 0.9090909090909091; support: 10
accuracy: 0.85; AUCROC: 0.86; precision: 0.8888888888888888; recall: 0.8; fscore: 0.8421052631578947; support: 10
accuracy: 0.85; AUCROC: 0.94; precision: 0.8888888888888888; recall: 0.8; fscore: 0.8421052631578947; support: 10
accuracy: 0.85; AUCROC: 0.9600000000000001; precision: 0.7692307692307693; recall: 1.0; fscore: 0.8695652173913043; support: 10
accuracy: 0.9; AUCROC: 0.9500000000000001; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.9; AUCROC: 0.9500000000000001; precision: 0.8333333333333334; recall: 1.0; fscore: 0.9090909090909091; support: 10
accuracy: 0.9; AUCROC: 0.9500000000000001; precision: 1.0; recall: 0.8; fscore: 0.8888888888888888; support: 10
accuracy: 0.95; AUCROC: 0.99; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 0.95; AUCROC: 0.96; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 0.8; AUCROC: 0.9099999999999999; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.8; AUCROC: 0.9400000000000001; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.85; AUCROC: 0.97; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
