accuracy: 0.8; AUCROC: 0.87; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.8; AUCROC: 0.8300000000000001; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.8; AUCROC: 0.8500000000000001; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.9; AUCROC: 0.8700000000000001; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.75; AUCROC: 0.9; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.75; AUCROC: 0.8800000000000001; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.75; AUCROC: 0.8800000000000001; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.75; AUCROC: 0.9; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.8; AUCROC: 0.86; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.9; AUCROC: 0.9400000000000001; precision: 0.8333333333333334; recall: 1.0; fscore: 0.9090909090909091; support: 10
accuracy: 0.8; AUCROC: 0.94; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.95; AUCROC: 0.95; precision: 0.9090909090909091; recall: 1.0; fscore: 0.9523809523809523; support: 10
accuracy: 0.75; AUCROC: 0.8700000000000001; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.8; AUCROC: 0.8600000000000001; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.7; AUCROC: 0.92; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.91; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.8; AUCROC: 0.87; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.8; AUCROC: 0.9; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.75; AUCROC: 0.8500000000000001; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.85; AUCROC: 0.8600000000000001; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.8; AUCROC: 0.93; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.85; AUCROC: 0.8700000000000001; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.8; AUCROC: 0.9400000000000001; precision: 0.7142857142857143; recall: 1.0; fscore: 0.8333333333333334; support: 10
accuracy: 0.8; AUCROC: 0.88; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.9; AUCROC: 0.8400000000000001; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.75; AUCROC: 0.8799999999999999; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.8; AUCROC: 0.89; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.8; AUCROC: 0.84; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.75; AUCROC: 0.8200000000000001; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.85; AUCROC: 0.92; precision: 0.7692307692307693; recall: 1.0; fscore: 0.8695652173913043; support: 10
accuracy: 0.85; AUCROC: 0.9199999999999999; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.7; AUCROC: 0.91; precision: 0.625; recall: 1.0; fscore: 0.7692307692307693; support: 10
accuracy: 0.85; AUCROC: 0.91; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.9; AUCROC: 0.9400000000000001; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.85; AUCROC: 0.9099999999999999; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.75; AUCROC: 0.91; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.8; AUCROC: 0.9400000000000001; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.7; AUCROC: 0.8900000000000001; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.9; AUCROC: 0.88; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.75; AUCROC: 0.8799999999999999; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.9; AUCROC: 0.9200000000000002; precision: 0.9; recall: 0.9; fscore: 0.9; support: 10
accuracy: 0.8; AUCROC: 0.93; precision: 0.7142857142857143; recall: 1.0; fscore: 0.8333333333333334; support: 10
accuracy: 0.75; AUCROC: 0.8; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.85; AUCROC: 0.92; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.8; AUCROC: 0.8600000000000001; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.8; AUCROC: 0.9199999999999999; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.85; AUCROC: 0.8700000000000001; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.85; AUCROC: 0.9; precision: 0.8181818181818182; recall: 0.9; fscore: 0.8571428571428571; support: 10
accuracy: 0.8; AUCROC: 0.9099999999999999; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.75; AUCROC: 0.9099999999999999; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
