accuracy: 0.7; AUCROC: 0.87; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.8; AUCROC: 0.86; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.7; AUCROC: 0.83; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.8; AUCROC: 0.89; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.8; AUCROC: 0.86; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.8; AUCROC: 0.8400000000000001; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.75; AUCROC: 0.8300000000000001; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.7; AUCROC: 0.82; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.7; AUCROC: 0.72; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.7; AUCROC: 0.78; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.65; AUCROC: 0.81; precision: 0.6666666666666666; recall: 0.6; fscore: 0.631578947368421; support: 10
accuracy: 0.6; AUCROC: 0.8; precision: 0.625; recall: 0.5; fscore: 0.5555555555555556; support: 10
accuracy: 0.7; AUCROC: 0.75; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.55; AUCROC: 0.69; precision: 0.5555555555555556; recall: 0.5; fscore: 0.5263157894736842; support: 10
accuracy: 0.65; AUCROC: 0.73; precision: 0.7142857142857143; recall: 0.5; fscore: 0.5882352941176471; support: 10
accuracy: 0.7; AUCROC: 0.7400000000000001; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.75; AUCROC: 0.7500000000000001; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.7; AUCROC: 0.81; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.75; AUCROC: 0.85; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.7; AUCROC: 0.85; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.75; AUCROC: 0.9; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.8; AUCROC: 0.85; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.8; AUCROC: 0.87; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.6; AUCROC: 0.76; precision: 0.5833333333333334; recall: 0.7; fscore: 0.6363636363636364; support: 10
accuracy: 0.65; AUCROC: 0.75; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.8; AUCROC: 0.8899999999999999; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.8; AUCROC: 0.86; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.65; AUCROC: 0.74; precision: 0.6; recall: 0.9; fscore: 0.72; support: 10
accuracy: 0.75; AUCROC: 0.77; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.75; AUCROC: 0.77; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.75; AUCROC: 0.87; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.75; AUCROC: 0.81; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.6; AUCROC: 0.72; precision: 0.6; recall: 0.6; fscore: 0.6; support: 10
accuracy: 0.75; AUCROC: 0.78; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.7; AUCROC: 0.74; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.75; AUCROC: 0.86; precision: 0.6923076923076923; recall: 0.9; fscore: 0.782608695652174; support: 10
accuracy: 0.65; AUCROC: 0.7700000000000001; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.7; AUCROC: 0.7800000000000001; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.75; AUCROC: 0.79; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.75; AUCROC: 0.8; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.75; AUCROC: 0.8; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.8; AUCROC: 0.8200000000000001; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.7; AUCROC: 0.8400000000000001; precision: 0.6428571428571429; recall: 0.9; fscore: 0.75; support: 10
accuracy: 0.5; AUCROC: 0.67; precision: 0.5; recall: 0.5; fscore: 0.5; support: 10
accuracy: 0.7; AUCROC: 0.79; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.6; AUCROC: 0.71; precision: 0.6; recall: 0.6; fscore: 0.6; support: 10
accuracy: 0.8; AUCROC: 0.78; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
accuracy: 0.7; AUCROC: 0.8; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.8; AUCROC: 0.84; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.8; AUCROC: 0.8200000000000002; precision: 0.75; recall: 0.9; fscore: 0.8181818181818182; support: 10
