accuracy: 0.75; AUCROC: 0.8999999999999999; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.9; AUCROC: 0.8700000000000001; precision: 1.0; recall: 0.8; fscore: 0.8888888888888888; support: 10
accuracy: 0.65; AUCROC: 0.8; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.8; AUCROC: 0.8999999999999999; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.75; AUCROC: 0.8799999999999999; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.6; AUCROC: 0.83; precision: 0.5833333333333334; recall: 0.7; fscore: 0.6363636363636364; support: 10
accuracy: 0.7; AUCROC: 0.8799999999999999; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.8; AUCROC: 0.8599999999999999; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
accuracy: 0.85; AUCROC: 0.8799999999999999; precision: 0.8888888888888888; recall: 0.8; fscore: 0.8421052631578947; support: 10
accuracy: 0.85; AUCROC: 0.8699999999999999; precision: 0.8888888888888888; recall: 0.8; fscore: 0.8421052631578947; support: 10
accuracy: 0.8; AUCROC: 0.79; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
accuracy: 0.7; AUCROC: 0.8599999999999999; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.7; AUCROC: 0.8; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.8; AUCROC: 0.8699999999999999; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
accuracy: 0.7; AUCROC: 0.8099999999999999; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.75; AUCROC: 0.8599999999999999; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.7; AUCROC: 0.8499999999999999; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.75; AUCROC: 0.85; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.75; AUCROC: 0.84; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.7; AUCROC: 0.88; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.75; AUCROC: 0.8799999999999999; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.8; AUCROC: 0.81; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.65; AUCROC: 0.8799999999999999; precision: 0.6153846153846154; recall: 0.8; fscore: 0.6956521739130435; support: 10
accuracy: 0.75; AUCROC: 0.8499999999999999; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.65; AUCROC: 0.8699999999999999; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.65; AUCROC: 0.83; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.85; AUCROC: 0.85; precision: 1.0; recall: 0.7; fscore: 0.8235294117647058; support: 10
accuracy: 0.75; AUCROC: 0.85; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.75; AUCROC: 0.8899999999999999; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.7; AUCROC: 0.85; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.8300000000000001; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.7; AUCROC: 0.8300000000000001; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.8; AUCROC: 0.86; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.75; AUCROC: 0.86; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.7; AUCROC: 0.8599999999999999; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.7; AUCROC: 0.8599999999999999; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.8099999999999999; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.8; AUCROC: 0.8799999999999999; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
accuracy: 0.75; AUCROC: 0.8300000000000001; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.65; AUCROC: 0.84; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.8; AUCROC: 0.82; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
accuracy: 0.8; AUCROC: 0.85; precision: 0.8; recall: 0.8; fscore: 0.8; support: 10
accuracy: 0.75; AUCROC: 0.82; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.8; AUCROC: 0.82; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
