accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
