accuracy: 0.7; AUCROC: 0.81; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.75; AUCROC: 0.77; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.7; AUCROC: 0.6299999999999999; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.8; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.75; AUCROC: 0.78; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.7; AUCROC: 0.8099999999999999; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.65; AUCROC: 0.74; precision: 0.6666666666666666; recall: 0.6; fscore: 0.631578947368421; support: 10
accuracy: 0.65; AUCROC: 0.73; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.7; AUCROC: 0.7899999999999999; precision: 0.75; recall: 0.6; fscore: 0.6666666666666666; support: 10
accuracy: 0.7; AUCROC: 0.75; precision: 0.75; recall: 0.6; fscore: 0.6666666666666666; support: 10
accuracy: 0.75; AUCROC: 0.74; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.65; AUCROC: 0.73; precision: 0.6666666666666666; recall: 0.6; fscore: 0.631578947368421; support: 10
accuracy: 0.7; AUCROC: 0.81; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.74; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.7; AUCROC: 0.73; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.73; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.7; AUCROC: 0.75; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.78; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.6; AUCROC: 0.73; precision: 0.6; recall: 0.6; fscore: 0.6; support: 10
accuracy: 0.7; AUCROC: 0.78; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.78; precision: 0.6666666666666666; recall: 0.6; fscore: 0.631578947368421; support: 10
accuracy: 0.6; AUCROC: 0.76; precision: 0.6; recall: 0.6; fscore: 0.6; support: 10
accuracy: 0.7; AUCROC: 0.7899999999999999; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.7; AUCROC: 0.7400000000000001; precision: 0.6666666666666666; recall: 0.8; fscore: 0.7272727272727273; support: 10
accuracy: 0.7; AUCROC: 0.8; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.6; AUCROC: 0.74; precision: 0.5833333333333334; recall: 0.7; fscore: 0.6363636363636364; support: 10
accuracy: 0.7; AUCROC: 0.74; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.7; AUCROC: 0.7599999999999999; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.73; precision: 0.6666666666666666; recall: 0.6; fscore: 0.631578947368421; support: 10
accuracy: 0.75; AUCROC: 0.7300000000000001; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.6; AUCROC: 0.74; precision: 0.6; recall: 0.6; fscore: 0.6; support: 10
accuracy: 0.7; AUCROC: 0.8200000000000001; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.75; AUCROC: 0.77; precision: 0.7777777777777778; recall: 0.7; fscore: 0.7368421052631579; support: 10
accuracy: 0.65; AUCROC: 0.76; precision: 0.6666666666666666; recall: 0.6; fscore: 0.631578947368421; support: 10
accuracy: 0.7; AUCROC: 0.76; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.77; precision: 0.6666666666666666; recall: 0.6; fscore: 0.631578947368421; support: 10
accuracy: 0.7; AUCROC: 0.73; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.76; precision: 0.7142857142857143; recall: 0.5; fscore: 0.5882352941176471; support: 10
accuracy: 0.7; AUCROC: 0.78; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.6; AUCROC: 0.7899999999999999; precision: 0.6; recall: 0.6; fscore: 0.6; support: 10
accuracy: 0.65; AUCROC: 0.78; precision: 0.6666666666666666; recall: 0.6; fscore: 0.631578947368421; support: 10
accuracy: 0.7; AUCROC: 0.77; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.7; AUCROC: 0.77; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.75; AUCROC: 0.8200000000000001; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.6; AUCROC: 0.74; precision: 0.6; recall: 0.6; fscore: 0.6; support: 10
accuracy: 0.65; AUCROC: 0.73; precision: 0.6363636363636364; recall: 0.7; fscore: 0.6666666666666666; support: 10
accuracy: 0.75; AUCROC: 0.75; precision: 0.7272727272727273; recall: 0.8; fscore: 0.7619047619047619; support: 10
accuracy: 0.7; AUCROC: 0.79; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.7; AUCROC: 0.7599999999999999; precision: 0.7; recall: 0.7; fscore: 0.7; support: 10
accuracy: 0.65; AUCROC: 0.78; precision: 0.6666666666666666; recall: 0.6; fscore: 0.631578947368421; support: 10
