accuracy: 0.95; AUCROC: 0.98; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 0.99; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 0.99; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 0.98; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 0.99; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 0.95; AUCROC: 1.0; precision: 1.0; recall: 0.9; fscore: 0.9473684210526315; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
accuracy: 1.0; AUCROC: 1.0; precision: 1.0; recall: 1.0; fscore: 1.0; support: 10
