accuracy: 0.8; AUCROC: 0.96; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.85; AUCROC: 0.9800000000000001; precision: 1.0; recall: 0.7; fscore: 0.8235294117647058; support: 10
accuracy: 0.8; AUCROC: 0.97; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.97; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.97; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.96; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.96; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.75; AUCROC: 0.97; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.75; AUCROC: 0.97; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.75; AUCROC: 0.97; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.75; AUCROC: 0.96; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.8; AUCROC: 0.99; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.96; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.9199999999999999; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.85; AUCROC: 0.97; precision: 1.0; recall: 0.7; fscore: 0.8235294117647058; support: 10
accuracy: 0.8; AUCROC: 0.96; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.99; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.97; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.75; AUCROC: 0.97; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.85; AUCROC: 0.97; precision: 1.0; recall: 0.7; fscore: 0.8235294117647058; support: 10
accuracy: 0.8; AUCROC: 0.96; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.9700000000000001; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.75; AUCROC: 0.96; precision: 0.8571428571428571; recall: 0.6; fscore: 0.7058823529411765; support: 10
accuracy: 0.75; AUCROC: 0.9400000000000001; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.8; AUCROC: 0.96; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.75; AUCROC: 0.9500000000000001; precision: 0.8571428571428571; recall: 0.6; fscore: 0.7058823529411765; support: 10
accuracy: 0.75; AUCROC: 0.97; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.8; AUCROC: 1.0; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.75; AUCROC: 0.96; precision: 0.8571428571428571; recall: 0.6; fscore: 0.7058823529411765; support: 10
accuracy: 0.8; AUCROC: 0.97; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.97; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
accuracy: 0.8; AUCROC: 0.97; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.75; AUCROC: 0.97; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.85; AUCROC: 0.97; precision: 1.0; recall: 0.7; fscore: 0.8235294117647058; support: 10
accuracy: 0.9; AUCROC: 0.98; precision: 1.0; recall: 0.8; fscore: 0.8888888888888888; support: 10
accuracy: 0.75; AUCROC: 0.96; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.85; AUCROC: 0.97; precision: 1.0; recall: 0.7; fscore: 0.8235294117647058; support: 10
accuracy: 0.75; AUCROC: 0.96; precision: 0.8571428571428571; recall: 0.6; fscore: 0.7058823529411765; support: 10
accuracy: 0.75; AUCROC: 0.9500000000000001; precision: 0.8571428571428571; recall: 0.6; fscore: 0.7058823529411765; support: 10
accuracy: 0.8; AUCROC: 0.95; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
accuracy: 0.75; AUCROC: 0.9800000000000001; precision: 1.0; recall: 0.5; fscore: 0.6666666666666666; support: 10
accuracy: 0.85; AUCROC: 0.9800000000000001; precision: 1.0; recall: 0.7; fscore: 0.8235294117647058; support: 10
accuracy: 0.8; AUCROC: 0.9500000000000001; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.9800000000000001; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.85; AUCROC: 0.97; precision: 1.0; recall: 0.7; fscore: 0.8235294117647058; support: 10
accuracy: 0.8; AUCROC: 0.95; precision: 0.875; recall: 0.7; fscore: 0.7777777777777778; support: 10
accuracy: 0.8; AUCROC: 0.9500000000000001; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.97; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.96; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
accuracy: 0.8; AUCROC: 0.97; precision: 1.0; recall: 0.6; fscore: 0.75; support: 10
